,Recipe Name,Description,Prep Time,Cook Time,Serving Size,Group,Calories,Fat,Cholesterol,Sodium,Carbohydrate,Protein,Sugar,Fiber,Ingredients,Instructions
130,Beef Birria Tacos,"
                Loaded with juicy, chile-spiced and succulent beef birria, this easy beef birria taco recipe is a real keeper.
            ",5,45,8, Gluten Free Kid Friendly,577,1 g,127 mg,1103 mg,27 g,58 g,4 g,5 g,"1 batch16 to 206-inch corn tortillas
2 tablespoonsvegetable oil
4 cupsshredded Oaxaca or mozzarella cheese
1 cupchopped white onion (from 1 onion)
½ cupchopped cilantro
","Wrap the tortillas in a damp paper towel and microwave on high for 30 seconds. Alternatively, using metal tongs, toast each tortilla over the flames of a gas stove. Heat 1 teaspoon of the oil in a large skillet over medium heat. Working one at a time, dip both sides of the tortilla in the birria broth and add to the skillet, sprinkle with 3 tablespoons of the cheese, allowing a little to spill over onto the pan. Top one side of the tortilla with the shredded beef (about ¼ cup), onion, and cilantro. Fold the tortilla over the filling and cook for 2 to 3 minutes per side, or until the tortilla is crispy and cheese is melted. Repeat with remaining tortillas. Transfer each taco to a plate and cover with a kitchen towel or foil to keep warm. Alternatively you can add them to a sheet pan and place them in a 200°F oven until ready to serve. Serve tacos with a bowl of broth for dipping. "
131,Korean Style Baked Chicken Wings,"
                These baked chicken wings with gochujang are baked, not fried! Juicy and flavorful, you should probably go ahead and invest in some wet naps now.
            ",10,50,4, Dairy-Free Gluten Free Low-Carb,326,20 g,0 mg,1051 mg,12 g,26 g,10 g,0 g,"3 poundsbone-in, skin-on chicken wings
2 teaspoonskosher salt
2large egg whites
Chopped cilantro leaves, for serving (optional)
Sesame seeds, for serving (optional)
Chopped green onions, for serving (optional)
⅓ cupbrown sugar
⅓ cuplow-sodium soy sauce or tamari
1 tablespoonGochujang or Sambal Oelek
1 tablespoontoasted sesame oil
1 tablespoonrice vinegar
1 tablespoonfish sauce
2 tablespoonsminced garlic
","Preheat the oven to 425°F with a rack in the center position. Set a wire rack inside a rimmed baking sheet.Pat the chicken dry and season all over with salt.In a large bowl, whisk the egg whites until frothy. Add the chicken to the bowl and toss until coated. Place the wings skin-sides up on the wire rack. Bake until the chicken is cooked through and the skin is crispy, 45–50 minutes.Meanwhile, make the sauce. In a small saucepan, combine the brown sugar, soy sauce, Gochujang, sesame oil, rice vinegar, fish sauce, and garlic over medium heat. Bring to a simmer and cook, stirring occasionally, until thick enough to coat the back of a spoon, about 5 minutes. Transfer the sauce to a second large bowl.While the wings are still hot, transfer them to the bowl with the sauce and toss to coat.Sprinkle the wings with the cilantro, sesame seeds, and green onions if using."
132,Fettuccine Alfredo,"
                Creamy, cheesy, but not too heavy, this Fettuccine Alfredo recipe can be mixed and served tableside for date night or thrown together in a pinch for a weeknight dinner for the family.
            ",10,15,6, 30 Minutes Kid Friendly,669,49 g,149 mg,764 mg,44 g,17 g,0 g,2 g,"12 ouncesfettuccine
½ cupunsalted butter, cut into 8 pieces
2garlic cloves, minced
¾ teaspoongarlic powder
¼ teaspoonground nutmeg
½ teaspoonkosher salt
½ teaspoonfreshly cracked black pepper
1½ cupsheavy whipping cream, room temperature
2 cupsfreshly grated Parmesan cheese
Minced flat leaf parsley, for serving
","Bring a large pot of salted water to a boil over high heat. Add the fettuccine and cook until al dente according to the package directions. Drain.Meanwhile, melt the butter in a large saucepan over medium-high heat. Add the garlic, garlic powder, nutmeg, salt, and pepper and cook, stirring, until the garlic is fragrant, about 1 minute.Slowly stir in the heavy cream and bring to a simmer. Add the Parmesan and simmer, stirring, until fully incorporated, about 2 minutes. Reduce the heat to medium-low and simmer until thickened, about 5 minutes more.Remove the pot from heat. Add the fettuccine and toss to coat. Garnish with fresh parsley and serve."
133,Sesame Chicken,"
                What do we want for dinner? A mountain of fluffy rice in a bowl topped with a heap of sesame chicken. Sprinkle that with some sliced green onions, and dry the tears of joy from your eyes.
            ",15,30,4, Dairy-Free Kid Friendly,749,42 g,191 mg,2131 mg,55 g,42 g,22 g,1 g,"1½ poundsboneless, skinless chicken breasts or thighs, cut into bite-size pieces
1 teaspoonsea salt
2eggs
½ cupcornstarch
½ cupall-purpose flour
1 quartvegetable oil, for frying
½ cuplow-sodium soy sauce
1 tablespoonrice vinegar
1 tablespoonvegetable oil
1 tablespoonsesame oil
3 tablespoonshoney
3 tablespoonsbrown sugar
1 teaspoonchili paste, (we like Sambal Oelek)
3cloves garlic, minced
1 teaspoongrated fresh ginger
1½ tablespoonscornstarch
2green onions, thinly sliced
2 tablespoonstoasted sesame seeds (see Note)
","Season the chicken all over with the salt. In a shallow bowl, beat the eggs. In a separate shallow bowl, combine the cornstarch and flour. Working with one piece at a time, dip the chicken into the egg and turn to coat. Allow the excess egg to drip off, then dip the chicken into the flour mixture, gently pressing to adhere. Attach a deep-fry thermometer to the side of a large, heavy pot. Add the vegetable oil to the pot over medium-high heat. Once the oil reaches 325°F, carefully add the chicken to the hot oil, 8 to 10 pieces at a time, and cook until golden brown and the internal temperature of the chicken reaches 165°F on an instant-read thermometer, about 5 minutes. Meanwhile, in a small bowl, mix together the soy sauce, rice vinegar, sesame oil, honey, brown sugar, and Sambal. Heat the oil in a large skillet over medium heat. Once the oil is glistening, add the garlic and ginger and cook, stirring, until fragrant, about 1 minute. Add the sauce to the pan and bring to a simmer. In a second small bowl, combine the cornstarch with ½ cup cold water and mix until smooth. Add the slurry to the sauce and cook, stirring, until the sauce has thickened, about 2 minutes more. Add the fried chicken to the sauce and cook, stirring, until coated with sauce and warmed through, about 2 minutes. Divide the rice between bowls. Top with the chicken and any remaining sauce. Garnish with green onions and toasted sesame seeds. Note: Toasted sesame seeds can usually be found in the International aisle of most grocery stores. You can also toast white sesame seeds in a dry skillet set over medium-high heat (you can use the large skillet before adding the oil to it!), then transfer to a bowl."
134,Chicken Tikka Masala,"
                Tender bites of chicken cooked in a flavorful tomato sauce made with traditional Indian spices like garam masala, cumin, and turmeric for a cozy meal with rice and naan.
            ",15,25,4,,670,42 g,202 mg,1220 mg,28 g,50 g,6 g,5 g,"1 cupplain Greek yogurt
½ teaspooncayenne
1 teaspoongaram masala
½ teaspoonturmeric
½ teaspoonground cumin
2garlic cloves, grated
2 teaspoonsgrated ginger
1 teaspoonsea salt
1 tablespoonfresh lemon juice (from 1 lemon)
2 poundsboneless, skinless chicken breast or thighs, cut into bite-size pieces
2 tablespoonscoconut oil or vegetable oil
2 tablespoonssalted butter
1small yellow onion, finely chopped
3garlic cloves, grated
2 teaspoonsgrated ginger
2 teaspoonsgaram masala
1 teaspooncumin
1 teaspoonturmeric
1 teaspoonsea salt
1 teaspoonbrown sugar
½ teaspooncayenne, plus more for serving
1 (28-ounce)can crushed tomatoes
1 cupchicken stock
1 cupheavy cream or full fat coconut milk
Cooked basmati rice
Fresh cilantro, minced
","Marinate the chicken. In a large bowl, mix together the yogurt, cayenne, garam masala, turmeric, cumin, garlic cloves, ginger, salt, and lemon juice. Add the chicken and toss until fully coated. Cover and let marinate in the refrigerator for at least 1 hour or up to overnight.Turn on the oven to broil and line a rimmed sheet pan with foil. Add the marinated chicken to the sheet and broil until beginning to brown, about 8 minutes. Meanwhile, make the tikka masala. Melt the coconut oil and butter in a large pot over medium heat. Add the onion and cook, stirring, until softened, about 5 minutes. Add the garlic and cook until fragrant, about 1 minute. Add the ginger, garam masala, cumin, turmeric, salt, brown sugar, and cayenne and stir to combine. Add the tomatoes and chicken stock and bring to a simmer. Add the chicken and its juices to the pot and stir to combine. Reduce the heat to medium low, cover, and simmer, stirring occasionally, until the chicken is cooked through and the sauce has thickened slightly, about 15 minutes. Stir in the heavy cream. Divide rice between 4 bowls. Serve the tikka over the rice, sprinkle with cilantro. Serve with naan on the side."
135,Slow Cooker Beef Stew,"
                Nothing beats the rich warmth of a bowl of beef stew, and this slow-cooker beef stew recipe has been tested and tried and the results are pure perfection.
            ",35,4,8, Dairy-Free Gluten Free Kid Friendly Slow Cooker,399,17 g,121 mg,260 mg,25 g,40 g,6 g,3 g,"5large carrots
1 (3 to 3½ pounds)chuck roast, cut into 1½-inch cubes
3 teaspoonskosher salt
2 tablespoonsextra-virgin olive oil
2celery ribs, finely diced
1yellow onion, finely diced
6garlic cloves, minced
¾ cuplight red wine (such as Pinot Noir)
4 cupsbeef stock
2 teaspoonsbeef bouillon
½ teaspoonfreshly cracked black pepper
1 teaspoonItalian seasoning
½ poundcremini mushrooms, halved
3 tablespoonscornstarch
½ poundgreen beans, trimmed and halved
3medium russet potatoes, peeled and cut into 1½ -inch pieces, about 2 pounds
Minced fresh flat-leaf parsley, for serving
","Finely dice two of the carrots, then cut the remaining three carrots into 2 ½-inch pieces. Season the beef all over with 1 teaspoon of the salt. Heat the olive oil in a large cast iron skillet over medium-high heat. Once the oil is glistening, working in batches, brown the beef on all sides, about 15 minutes. Transfer the beef to the slow cooker. Reduce the heat to medium. Add the celery, diced carrots, and onion to the skillet and cook, stirring, until tender, about 5 minutes. Add the garlic and cook until fragrant, about 2 minutes more. Add the wine and bring to a simmer over medium-high heat. Cook until reduced and slightly thickened, about 5 to 7 minutes. Add the wine mixture to the slow cooker along with the beef stock, bouillon, remaining 2 teaspoons of salt, pepper, Italian seasoning, and mushrooms. Cook 4 hours on HIGH or 8 hours on LOW. In a small bowl, mix the cornstarch with ¼ cup cold water. When the stew has 1½ hours remaining, stir in the cornstarch slurry along with the carrot pieces, green beans, and potatoes. Ladle into bowls and sprinkle with parsley to serve. "
136,Chicken Nuggets,"
                100% real meat, just how it should be! We want you to feel good when you read the ingredients for our easy chicken nugget recipe. We guarantee you’ll feel good when you eat them too!!
            ",15,30,4, Kid Friendly,916,53 g,127 mg,2396 mg,60 g,50 g,6 g,4 g,"2¼ cupsall-purpose flour
5 teaspoonsgarlic powder
3 teaspoonsgranulated sugar
1 teaspooncayenne pepper
2½ teaspoonspaprika
4½ teaspoonskosher salt
1¼ teaspoonsblack pepper, plus more to taste
1large egg
1 cupbuttermilk
1 teaspoonbaking soda
1½ poundsboneless skinless chicken breasts, cut into 1- inch pieces
2 quartsvegetable or peanut oil, for frying
Buttermilk ranch, for serving
Fry Sauce, for serving
Ketchup, for serving
","In a shallow bowl, stir together 1½ cups of the flour, 3 teaspoons of the garlic powder, 2 teaspoons granulated sugar, ½ teaspoon of the cayenne, 2 teaspoons of the paprika, 3 teaspoons of the salt, and 1 teaspoon of the black pepper. In a separate shallow bowl, beat the egg with the buttermilk. Whisk in the remaining ¾ cup of the flour, 2 teaspoons of the garlic powder, 1 teaspoon sugar, ½ teaspoon of the cayenne pepper, ½ teaspoon of the salt, ¼ teaspoon of the black pepper and the baking soda to combine.Season the chicken all over with the remaining 1 teaspoon of salt and black pepper to taste. Add the chicken to the buttermilk mixture and toss to coat well.Set a cooling rack inside a rimmed sheet pan.Attach a deep-fry thermometer to the side of a large, heavy pot. Add the vegetable oil to the pot over medium-high heat. Once the oil reaches 325°F, working with 6 to 8 pieces at a time, begin removing the chicken from the wet mixture, allowing any excess to drip off. Roll it through the dry mixture, pressing to adhere. Carefully add the chicken to the hot oil, and cook, turning halfway through, until deep golden brown and the internal temperature of the chicken reaches 165°F on an instant-read thermometer, 3 to 4 minutes. Using a slotted metal spoon, transfer the chicken to the cooling rack to cool. Serve warm with ranch, fry sauce, and ketchup for dipping. "
137,Salisbury Steak,"
                Salisbury steak is, of course, not steak at all. Think perfectly browned ground beef patties, seasoned with abandon and served with onion-and-mushroom gravy. So yeah, now you know what’s for dinner!
            ",15,40,6, Kid Friendly,427,25 g,147 mg,1184 mg,17 g,35 g,5 g,2 g,"2large eggs, beaten
½ cupwhole milk
3 tablespoonsketchup
1½ teaspoonssea salt
1 teaspoonItalian seasoning
1 teaspoongarlic powder
1 teaspoononion powder
1 teaspoonmustard powder
1 teaspoonWorcestershire sauce
¼ teaspoonfreshly cracked black pepper, plus more for serving
1½ pounds90/10 ground beef
¾ cupbreadcrumbs
1 tablespoonextra-virgin olive
Minced fresh parsley leaves, for serving (optional)
2 tablespoonsextra-virgin olive oil
½medium yellow onion, thinly sliced
10 ouncescremini mushrooms, thinly sliced
3garlic cloves, minced
2 tablespoonsunsalted butter
2 tablespoonsall-purpose flour
1 teaspoonmustard powder
¾ teaspoonsea salt
¼ teaspoongarlic powder
¼ teaspoononion powder
2 cupsbeef broth
2 teaspoonsWorcestershire sauce
1 teaspoonBetter Than Bouillon beef base or 1 beef bouillon cube
","Make the steaks. In a medium bowl, whisk together the eggs, milk, ketchup, salt, Italian seasoning, garlic powder, onion powder, mustard powder, Worcestershire sauce, and black pepper. In a large bowl, using your hands, gently combine the ground beef and breadcrumbs. Add the egg mixture and mix well. Form the mixture into six, 1-inch-thick oval patties.Heat the oil in a large skillet over medium heat. Once the oil is glistening, add the patties. Cook, undisturbed, until browned but not yet cooked through, about 4 minutes per side. Transfer the patties to a plate. Make the gravy. Heat the oil in the same skillet over medium heat. Once the oil is glistening, add the onions and cook, stirring occasionally, until soft and translucent, 6 to 8 minutes. Add the mushrooms and cook, stirring occasionally, until softened, about 5 minutes more. Add the garlic and cook, stirring, until fragrant, about 1 more minute. Add the butter to the pan. Once the butter is melted, stir in the flour, mustard powder, salt, garlic powder, and onion powder. Slowly stir in the beef broth, Worcestershire, and bouillon. Increase the heat to medium-high and bring the mixture to a boil. Nestle in the patties, then cover and reduce the heat to low. Simmer until the internal temperature of the patties reaches 160°F on an instant-read thermometer, 10 to 15 minutes. Divide the Salisbury steaks between plates and top with the gravy. Garnish with minced parsley before serving. "
138,Chicken Fried Rice,"
                A complete weeknight meal that uses leftovers? Count us in! Rice, whatever vegetables you have on hand, and succulent chicken make this mouthwatering chicken fried rice a winner.
            ",15,40,4, Dairy-Free Gluten Free Kid Friendly,649,20 g,213 mg,2449 mg,72 g,37 g,14 g,4 g,"4 cupscooked long grain white rice (see Note)
1 poundboneless, skinless chicken breasts, cut into bite sized pieces
1¼ teaspoonssea salt, plus more to taste
2 tablespoonscornstarch
3large eggs
2½ teaspoonstoasted sesame oil
⅓ cupcoconut aminos
3 tablespoonsvegetable oil
2medium carrots, peeled and finely diced (about 1 cup)
½medium yellow onion, finely chopped (about 1 cup)
3cloves garlic, minced
½ cupfrozen peas
4green onions, chopped
3 tablespoonssoy sauce or tamari
","Bring a large pot of salted water to a boil over high heat. Add the chicken to a large bowl and season all over with 1 teaspoon of the salt. Add the cornstarch and toss until evenly coated. Add the chicken to the boiling water and cook for 4 minutes, or until no longer pink. Drain the chicken and set aside. Meanwhile, in a small bowl, beat the eggs with ½ teaspoon of the sesame oil, ½ teaspoon of the coconut aminos, and the remaining ¼ teaspoon salt.Heat 1 tablespoon vegetable oil and 1 teaspoon sesame oil in a large skillet or wok over medium-high heat. Add the carrots and cook, stirring until slightly softened, about 3 minutes. Stir in the onions and cook until tender, about 3 minutes more. Stir in the garlic and cook until fragrant, about another 1 minute. Transfer the vegetables to a plate.Add 1 tablespoon of vegetable oil to the same skillet. Once the oil is glistening, add the egg mixture and cook, scrambling, breaking them into bite size pieces until just set, about 2 minutes. Transfer the eggs to the plate with the vegetables.Add the remaining 1 tablespoon vegetable oil and remaining 1 teaspoon sesame oil to the skillet. Once the oil is glistening, add the rice in a single layer and cook, undisturbed, until slightly crispy, 2 to 3 minutes. Toss 3 more times, cooking for 2-3 minutes each time. Reduce the heat to medium. Add the chicken, veggie and egg mixture to the skillet. Stir in the peas, green onions, remaining coconut aminos and soy sauce and cook stirring, until combined and warmed through, about 3 minutes. Note: We use day-old cooked rice here because it produces a much better texture than using fresh rice, which can be soggy when fried. If you’re using freshly made cooked rice, spread it out on a baking sheet to cool as much as possible before adding to the skillet."
139,Green Curry Salmon,"
                Homemade green curry isn’t just for dining out. This green curry salmon recipe is fresh and flavorful, and totally satisfying and you can totally make it at home!
            ",15,20,4, Dairy-Free Gluten Free Low-Carb Whole30 One Pot,348,12 g,65 mg,746 mg,24 g,35 g,10 g,9 g,"4 (4-ounce)salmon fillets, skin removed
½ teaspoonsea salt
½ teaspoonfreshly cracked black pepper
1 (13.5-ounce)can coconut milk, shaken
1 tablespoongreen curry paste
1 tablespoonfresh lime juice (from 1 lime)
1 teaspoonfreshly grated ginger
1 tablespoonfish sauce
1small sweet onion, sliced into ½-inch-thick half rounds
1red bell pepper, cut into ½-inch-thick strips
1green bell pepper, cut into ½-inch-thick strips
Cooked rice, for serving
4green onions, thinly sliced, for serving
Fresh cilantro, chopped, for serving
Red pepper flakes, for serving
","Preheat the oven to 375° F with a rack in the center position. Season the salmon all over with the salt and pepper.Heat an ovenproof skillet over medium heat. Add the coconut milk, curry paste, lime juice, ginger, and fish sauce; whisk to combine. Add in the onion half rounds and pepper strips and bring to a simmer. Cook for 5 minutes, stirring occasionally, or until the peppers and onions begin to soften.Nestle in the salmon and bake in the oven until the salmon flakes easily with a fork, 10-12 minutes. Serve the salmon over rice. Sprinkle with green onions, cilantro, and red pepper flakes. "
140,Baked Tilapia,"
                It’s time to turn our attention to this simple-is-better buttery baked tilapia. It just takes a little lemon, garlic, and a sprinkle of toasted breadcrumbs to make a really special baked fish recipe.
            ",5,12,4, 30 Minutes,322,18 g,126 mg,663 mg,4 g,35 g,0 g,0 g,"4 (6 ounce)tilapia fillets (1½ pounds total)
¾ teaspoonsea salt
1 teaspoonpaprika
5½ tablespoonssalted butter
1 tablespoonminced garlic
1 teaspoongrated lemon zest
2lemons, sliced into rounds
⅓ cuppanko breadcrumbs
Freshly cracked black pepper, to taste
Fresh flat leaf parsley, minced (optional)
","Preheat the oven to 425°F with a rack in the center position. Pat the tilapia dry with a paper towel. Season all over with the salt and paprika. Melt 4 tablespoons of the butter in a small skillet over medium heat. Stir in the garlic and cook until fragrant, about 1 minute. Remove the pan from heat and stir in the lemon zest. Place the lemon slices in a single layer on the bottom of a 9x13 baking dish. Add the tilapia over top of the lemon, then pour over the garlic butter. Bake until the tilapia easily flakes with a fork, 10-12 minutes. Meanwhile, melt the remaining 1½ tablespoons of butter in the same skillet over medium heat. Stir in the panko and cook until golden brown, about 4 minutes. Divide the tilapia between plates and sprinkle with the toasted breadcrumbs, pepper, and parsley. Serve the lemon rounds on the side if desired."
141,Pierogi Recipe,"
                Natalie’s grandma made this traditional pierogi recipe for holidays or any time the family had a reason to come together. Making and sharing pierogi is an excellent way to spread the love.
            ",1,30,12, Kid Friendly,251,11 g,51 mg,1226 mg,33 g,5 g,1 g,2 g,"2½ cupsall-purpose flour, plus more for rolling
1 teaspoonsea salt
2eggs, beaten
2 tablespoonsvegetable oil
2 poundsrusset potatoes, peeled and cut into 1-inch pieces
2 tablespoonskosher salt, plus more to taste
½ teaspoonfreshly cracked black pepper
½ cupsalted butter or extra-virgin olive oil
⅓ cupfinely chopped fresh mint
1medium yellow onion, diced
4strips bacon, roughly chopped
Cottage cheese, for serving (optional)
Sour cream, for serving (optional)
","Make the dough. In a large bowl combine the flour and salt. Stir in ½ cup of water, eggs, and oil and mix until a shaggy dough forms. Turn the dough out onto a floured surface. Knead the dough with floured hands until smooth, about 10 minutes. Cover with a damp kitchen towel or plastic wrap and let rest for 30 minutes to an hour. Meanwhile, make the filling. Add the potatoes and salt to a large pot and cover with 3 inches of cold water. Bring to a boil over high heat, then reduce the heat to a simmer and cook until potatoes are fork tender, about 20 minutes. Drain and transfer to a second large bowl. Add the pepper, butter, and mint, and mash until mostly smooth. Adjust salt to taste. Cut the dough in half, leaving half covered. On the lightly floured surface, roll half of the dough until ¼ inch thick. Using a 3 inch biscuit cutter, cut out 12-15 pieces of dough. Repeat with the remaining dough and any dough scraps. Lightly flour a rimmed baking sheet. Working with one piece at a time, gently roll each dough round until slightly thinner. Add 1 tablespoon of potato mixture to the center of each dough round. Using your finger, spread water along the edge of each round, then fold the edges together to form a crescent shape. Seal with a fork, being careful not to pinch in any filling, and transfer to the prepared sheet. See Note.Bring a large pot of water to a boil over high heat and salt it. Meanwhile, add the onion and bacon to a large skillet and cook over medium heat until the onion is tender and bacon begins to crisp, about 4 minutes. Once the water is boiling, add 4-5 pierogi to the pot at a time and cook until they are floating, about 2-3 minutes. Using a slotted spoon, remove them from the water, allowing excess water to drip off, and transfer to the skillet with the bacon and onion. Once all of the pierogi have been added to the skillet, cook over medium-high heat until golden brown, about 2-3 minutes per side. Transfer to a large platter. Serve family style with sour cream or cottage cheese on the side, if using. Note: When filling the pierogi, move as quickly as possible so the dough doesn't dry out. Freezing instructions: After forming the pierogi, arrange on the prepared sheet without touching. Freeze for 3 hours or until the dough is hard, then transfer to a zip top freezer bag and store for up to 3 months. When ready to make, cook through the rest of the recipe as instructed. "
142,Chicken Broccoli and Rice Casserole,"
                With one hour and a handful of pantry items, you can make this simple cheesy chicken and rice casserole loaded with broccoli with a crunchy golden-brown top!
            ",10,45,6, Kid Friendly,604,26 g,57 mg,1518 mg,41 g,49 g,3 g,3 g,"1 tablespoonextra-virgin olive oil, plus more for greasing
1 (10.5 ounce)can condensed cream of chicken soup
⅓ cupwhole milk
⅓ cupsour cream
1 teaspoonBetter Than Bouillon, chicken flavor
2 teaspoonsgarlic powder
2 teaspoonsonion powder
2 teaspoonsdried oregano
2 teaspoonskosher salt
1 cupuncooked long grain rice, rinsed
¾ poundbroccoli florets (about 6 cups)
1½ poundsboneless, skinless chicken breasts, cut into ½-inch pieces
½ teaspoonfreshly cracked black pepper
2 cupsshredded cheddar cheese
½ cuppanko breadcrumbs
2 tablespoonssalted butter, melted
","Preheat the oven to 375°F with a rack in the center position. Grease a 9x13-inch baking dish with olive oil. In a large bowl, whisk together the condensed soup, milk, sour cream, bouillon, 1 teaspoon of the garlic powder, 1 teaspoon of the onion powder, and 1 teaspoon of the oregano until fully combined. Fill a large pot with 3 cups of water and add 1 teaspoon of the salt. Bring to a boil over high heat. Add the rice and reduce the heat to a simmer. Cover and cook, undisturbed, for 10 minutes. Add the broccoli to the pot without stirring, cover and cook, until rice and broccoli are tender, for another 5 minutes. Remove from heat and let cool, covered, for 5 more minutes. Add broccoli and rice to the bowl with the soup mixture. Meanwhile, season chicken with pepper, remaining 1 teaspoon salt, 1 teaspoon garlic powder, 1 teaspoon onion powder, and 1 teaspoon oregano. Heat the olive oil in a large saucepan over medium-high heat. Add the chicken and cook until golden brown on all sides, about 5-7 minutes. Transfer the chicken to the bowl with rice and broccoli along with 1 cup cheddar cheese, toss to combine.Transfer the mixture to the prepared baking dish and spread out into an even layer. Sprinkle all over with the remaining cheese.Cover with foil and bake for 20 minutes, or until the sauce is bubbling and the cheese is melted.Meanwhile in a small bowl, stir together the bread crumbs and melted butter.Remove the casserole from the oven and increase the heat to 400°F. Sprinkle the casserole with the bread crumbs, then return the baking dish to the oven uncovered and bake for another 10 minutes, or until the bread crumbs are golden.Serve family style. "
143,Herby White Bean Soup with Cabbage,"
                A zippy (there’s lemon), hearty (those beans), and herbaceous (yes dill and parsley!) soup to warm your bowl any time of year.
            ",10,25,6, Dairy-Free Gluten Free Vegetarian One Pot,342,15 g,10 mg,688 mg,42 g,12 g,18 g,10 g,"¼ cupextra-virgin olive oil
2shallots, thinly sliced
2medium heads fennel, thinly sliced, fronds reserved
1½ teaspoonkosher salt
2cloves garlic, thinly sliced
1 (10-ounce)head green cabbage, cored and roughly chopped
6 cups2 (15-ounce)cans white beans, drained and rinsed
1Parmesan rind, optional
½ teaspoonfreshly cracked black pepper, plus more for serving
1 tablespoonfresh lemon juice (from one lemon)
1 teaspoongrated lemon zest
¼ cupfresh parsley, finely chopped
Fresh dill, finely chopped, plus more for serving
","Heat 3 tablespoons of the olive oil in a large pot or Dutch oven over medium heat. Once the oil is glistening, add the shallots, sliced fennel, and ½ teaspoon of the salt. Cook, stirring often, until the fennel is softened and golden, about 10 minutes. Stir in the garlic, cabbage, and remaining 1 tablespoon of olive oil, and cook until cabbage is bright green, about 3 minutes. Add the stock, beans, parmesan rind, if using, pepper and the remaining 1 teaspoon of salt. Increase the heat to high and bring to a boil, then reduce the heat to a simmer. Cook until the beans are tender and the parmesan rind is soft, about 10 minutes. Stir in the lemon juice, lemon zest, and parsley. Ladle the soup into bowls and serve topped with pepper, reserved fennel fronds, and dill. "
144,Maple Bacon Brussels Sprouts,"
                “More Brussels sprouts, please!” Who would have ever believed that we’d actually be hearing that!? But these maple-bacon Brussels sprouts are so delicious, you’d better get ready to believe it.
            ",5,20,6, Dairy-Free Gluten Free 30 Minutes Kid Friendly,164,10 g,20 mg,644 mg,11 g,10 g,6 g,3 g,"1 poundbacon, cut into 1-inch pieces
1½ poundsBrussels sprouts, halved
¼ cupextra-virgin olive oil
¼ cupmaple syrup
½ teaspoonkosher salt
½ teaspoon pepperfreshly cracked black
","Place the bacon in a large skillet. Set the skillet over medium heat and cook, stirring occasionally, until the bacon crisps and the fat is rendered, 5-7 minutes. Using a slotted spoon, transfer the bacon to a paper towel–lined plate, reserving 1 tablespoon of the fat in the pan.Add the olive oil to the same skillet and increase the heat to medium high. Add Brussels sprouts, cut sides down, and cook undisturbed for 4 to 5 minutes, or until the sprouts are lightly browned. Flip and cook, stirring continuously, until they are tender, 3 to 4 minutes. Return bacon to the skillet and add the maple syrup, salt, and pepper. Stir until the sprouts are coated. Serve warm."
145,Tuna Salad,"
                Tuna salad gets a glow up. This recipe is full of crunchy things (shallots, celery, and relish) and some fabulous seasoning (Old Bay!) in addition to the old standby mayonnaise and mustard.
            ",5,0,4, Dairy-Free Gluten Free 30 Minutes,166,11 g,28 mg,457 mg,6 g,11 g,3 g,1 g,"2 (5-ounce)cans tuna, packed in water or oil, drained
1small shallot, finely chopped (about 2 tablespoons)
1celery rib, minced (about ⅓ cup)
2 teaspoonsrelish, sweet or dill
¼ cupmayonnaise, plus more to taste
2 teaspoonsDijon or Stone ground mustard
2 teaspoonsfreshly squeezed lemon juice (from  lemon) or red wine vinegar
¼ teaspoonkosher salt
¼ teaspoonfreshly cracked black pepper
¼ teaspoongarlic powder or Old Bay Seasoning
¼ teaspoongranulated sugar or honey (optional)
8slices bread of choice (optional)
4large lettuce leaves (optional)
","In a large bowl, mix together the tuna, shallot, celery, relish, mayonnaise, Dijon, lemon juice, salt, black pepper, garlic powder, Old Bay seasoning, and sugar (if using) until combined.If making into a sandwich, divide the tuna salad between 4 slices of bread. Top each with a lettuce leaf and remaining slices of bread. "
146,,,,,,,,,,,,,,,,
